n,flops
322,8.35038e+08
323,8.35746e+08
324,8.0373e+08
325,7.79162e+08
326,8.3037e+08
327,7.91008e+08
328,7.39761e+08
329,7.51783e+08
330,7.26404e+08
331,8.23423e+08
332,8.11134e+08
333,8.23601e+08
334,7.81706e+08
335,7.98992e+08
336,7.7396e+08
337,7.64061e+08
338,7.35083e+08
339,7.52279e+08
340,7.56896e+08
341,7.62533e+08
342,7.68832e+08
343,7.5349e+08
344,7.66412e+08
345,7.98714e+08
346,6.75514e+08
347,7.74958e+08
348,7.5168e+08
349,7.83355e+08
350,7.68761e+08
351,7.6605e+08
352,7.82277e+08
353,8.24277e+08
354,7.88944e+08
355,8.4893e+08
356,7.40485e+08
357,7.90722e+08
358,7.703e+08
359,8.13201e+08
360,8.15772e+08
361,8.39577e+08
362,7.79411e+08
363,7.77908e+08
364,7.92665e+08
365,7.4011e+08
366,7.9437e+08
367,8.10939e+08
368,7.64447e+08
369,7.99413e+08
370,7.79841e+08
371,8.20989e+08
372,7.71837e+08
373,7.73177e+08
374,7.59652e+08
375,7.68646e+08
376,7.71464e+08
377,7.66567e+08
378,7.43542e+08
379,7.70623e+08
380,7.33228e+08
381,8.28865e+08
382,7.19601e+08
383,7.94553e+08
384,7.19176e+08
385,7.93207e+08
386,7.76779e+08
387,7.89355e+08
388,7.04872e+08
389,8.30262e+08
390,7.94371e+08
391,7.72613e+08
392,7.68613e+08
393,7.65336e+08
394,7.64919e+08
395,7.7899e+08
396,8.1281e+08
397,7.73778e+08
398,7.94586e+08
399,8.27526e+08
400,7.99972e+08
401,8.07819e+08
402,7.64889e+08
403,7.98541e+08
404,7.96823e+08
405,7.605e+08
406,7.73072e+08
407,8.2075e+08
408,8.14033e+08
409,8.03457e+08
410,7.97365e+08
411,8.12989e+08
412,7.14502e+08
413,7.83825e+08
414,7.59673e+08
415,7.88616e+08
416,8.02449e+08
417,7.6458e+08
418,8.25441e+08
419,8.01572e+08
420,7.45287e+08
421,8.04725e+08
422,7.58992e+08
423,7.63589e+08
424,7.53361e+08
425,8.25505e+08
426,8.13718e+08
427,7.75937e+08
428,7.37407e+08
429,7.72403e+08
430,7.63699e+08
431,7.64121e+08
432,7.59298e+08
433,7.32577e+08
434,8.19237e+08
435,7.95504e+08
436,7.12582e+08
437,8.15091e+08
438,7.92471e+08
439,7.4825e+08
440,7.71336e+08
441,8.19634e+08
442,7.98763e+08
443,8.04093e+08
444,7.52068e+08
445,7.53047e+08
446,7.57234e+08
447,7.64413e+08
448,7.36247e+08
449,7.56318e+08
450,7.8988e+08
451,7.78031e+08
452,8.15721e+08
453,7.54926e+08
454,8.21952e+08
455,7.90507e+08
456,7.91844e+08
457,7.85802e+08
458,7.88258e+08
459,8.08175e+08
460,8.10297e+08
461,7.68495e+08
462,7.50535e+08
463,7.78109e+08
464,8.11651e+08
465,8.22626e+08
466,7.7989e+08
467,7.66663e+08
468,7.70797e+08
469,7.17118e+08
470,7.71722e+08
471,7.53262e+08
472,7.31389e+08
473,7.63762e+08
474,8.02494e+08
475,8.22011e+08
476,7.83962e+08
477,8.08593e+08
478,7.46443e+08
479,7.70152e+08
480,7.52976e+08
481,7.55756e+08
482,7.93197e+08
483,7.63041e+08
484,7.6355e+08
485,8.4455e+08
486,7.78686e+08
487,7.77214e+08
488,7.80001e+08
489,7.78666e+08
490,7.68627e+08
491,7.84836e+08
492,7.82218e+08
493,7.62075e+08
494,7.69038e+08
495,7.69712e+08
496,7.43672e+08
497,7.51025e+08
498,7.50501e+08
499,7.6928e+08
500,7.6118e+08
501,6.68544e+08
502,7.77407e+08
503,8.21014e+08
504,7.61176e+08
505,7.78752e+08
506,7.67612e+08
507,7.94094e+08
508,7.59136e+08
509,8.19085e+08
510,8.00017e+08
511,7.92226e+08
512,7.71453e+08
