n,flops
322,3.16298e+09
323,3.16226e+09
324,3.13795e+09
325,3.07808e+09
326,3.12067e+09
327,3.08474e+09
328,3.1526e+09
329,3.18068e+09
330,3.11534e+09
331,3.13587e+09
332,3.12264e+09
333,3.09024e+09
334,3.11241e+09
335,3.12508e+09
336,3.05683e+09
337,2.95918e+09
338,2.87035e+09
339,2.99219e+09
340,2.97017e+09
341,2.94241e+09
342,2.98616e+09
343,3.04782e+09
344,3.05513e+09
345,2.96721e+09
346,3.00266e+09
347,3.01002e+09
348,3.02524e+09
349,3.04163e+09
350,2.97491e+09
351,2.93064e+09
352,2.97138e+09
353,3.07596e+09
354,3.07039e+09
355,3.04747e+09
356,2.95486e+09
357,3.02343e+09
358,2.95391e+09
359,3.10482e+09
360,3.10113e+09
361,2.99397e+09
362,2.9597e+09
363,3.07313e+09
364,3.10055e+09
365,3.06163e+09
366,3.00679e+09
367,2.96538e+09
368,2.89248e+09
369,2.81496e+09
370,2.44702e+09
371,1.98823e+09
372,2.96312e+09
373,2.98671e+09
374,3.01483e+09
375,2.9949e+09
376,2.95222e+09
377,2.94835e+09
378,2.90777e+09
379,2.95709e+09
380,2.97809e+09
381,2.91467e+09
382,2.96965e+09
383,3.03802e+09
384,3.00958e+09
385,3.03987e+09
386,2.75221e+09
387,3.01142e+09
388,2.94959e+09
389,2.98455e+09
390,3.02811e+09
391,3.04474e+09
392,2.97481e+09
393,3.03668e+09
394,2.99963e+09
395,3.00736e+09
396,2.92883e+09
397,2.97358e+09
398,3.06101e+09
399,2.88436e+09
400,2.94905e+09
401,2.45582e+09
402,2.97717e+09
403,2.98452e+09
404,2.9206e+09
405,2.88697e+09
406,2.50656e+09
407,2.93767e+09
408,2.92556e+09
409,2.93702e+09
410,2.91766e+09
411,2.8446e+09
412,2.85183e+09
413,2.97869e+09
414,2.91084e+09
415,3.04178e+09
416,2.97307e+09
417,2.86526e+09
418,2.88591e+09
419,2.94052e+09
420,2.95553e+09
421,2.98509e+09
422,2.95761e+09
423,2.92626e+09
424,2.93884e+09
425,2.54478e+09
426,2.87237e+09
427,2.93725e+09
428,2.93776e+09
429,2.91135e+09
430,2.84991e+09
431,2.78637e+09
432,2.86878e+09
433,2.93818e+09
434,2.95927e+09
435,2.94226e+09
436,2.88006e+09
437,2.90395e+09
