n, type, kij_GFLOPs, jki_GFLOPs
2, FP32, 0.147601, 0.137221
2, FP64, 0.16, 0.174672
4, FP32, 0.32, 0.357143
4, FP64, 0.32, 0.341333
8, FP32, 0.468993, 0.474469
8, FP64, 0.468993, 0.437308
16, FP32, 0.434972, 0.363011
16, FP64, 0.54162, 0.491027
32, FP32, 0.492845, 0.464109
32, FP64, 0.494487, 0.49853
64, FP32, 0.555905, 0.617342
64, FP64, 0.578222, 0.616755
128, FP32, 0.69921, 0.777424
128, FP64, 0.803372, 0.756926
256, FP32, 0.862053, 0.745651
256, FP64, 0.885375, 0.718296
512, FP32, 0.853984, 0.72397
512, FP64, 0.849484, 0.69327
